Tinggi,Gender,Pengukuran,L,M,S
100.5,P,Height,-0.3833,15.3687,0.09102
100.5,L,Length,-0.3521,15.3018,0.0822
100.5,P,Length,-0.3833,15.1676,0.09083
101,L,Height,-0.3521,15.6412,0.08277
101,P,Height,-0.3833,15.5154,0.09116
101,L,Length,-0.3521,15.4419,0.08243
101,P,Length,-0.3833,15.3108,0.09096
101.5,L,Height,-0.3521,15.7857,0.08302
101.5,P,Height,-0.3833,15.6646,0.09131
101.5,L,Length,-0.3521,15.5838,0.08267
101.5,P,Length,-0.3833,15.4564,0.0911
102,L,Height,-0.3521,15.932,0.08328
102,P,Height,-0.3833,15.8164,0.09146
102,L,Length,-0.3521,15.7276,0.08292
102,P,Length,-0.3833,15.6046,0.09125
102.5,L,Height,-0.3521,16.0801,0.08354
102.5,P,Height,-0.3833,15.9707,0.09161
102.5,L,Length,-0.3521,15.8732,0.08317
102.5,P,Length,-0.3833,15.7553,0.09139
103,L,Height,-0.3521,16.2298,0.08381
103,P,Height,-0.3833,16.1276,0.09177
103,L,Length,-0.3521,16.0206,0.08343
103,P,Length,-0.3833,15.9087,0.09155
103.5,L,Height,-0.3521,16.3812,0.08408
103.5,P,Height,-0.3833,16.287,0.09193
103.5,L,Length,-0.3521,16.1697,0.0837
103.5,P,Length,-0.3833,16.0645,0.0917
104,L,Height,-0.3521,16.5342,0.08436
104,P,Height,-0.3833,16.4488,0.09209
104,L,Length,-0.3521,16.3204,0.08397
104,P,Length,-0.3833,16.2229,0.09186
104.5,L,Height,-0.3521,16.6889,0.08464
104.5,P,Height,-0.3833,16.6131,0.09226
104.5,L,Length,-0.3521,16.4728,0.08425
104.5,P,Length,-0.3833,16.3837,0.09203
105,L,Height,-0.3521,16.8454,0.08493
105,P,Height,-0.3833,16.78,0.09243
105,L,Length,-0.3521,16.6268,0.08453
105,P,Length,-0.3833,16.547,0.09219
105.5,L,Height,-0.3521,17.0036,0.08521
105.5,P,Height,-0.3833,16.9496,0.09261
105.5,L,Length,-0.3521,16.7826,0.08481
105.5,P,Length,-0.3833,16.7129,0.09236
106,L,Height,-0.3521,17.1637,0.08551
106,P,Height,-0.3833,17.122,0.09278
106,L,Length,-0.3521,16.9401,0.0851
106,P,Length,-0.3833,16.8814,0.09254
106.5,L,Height,-0.3521,17.3256,0.0858
106.5,P,Height,-0.3833,17.2973,0.09296
106.5,L,Length,-0.3521,17.0995,0.08539
106.5,P,Length,-0.3833,17.0527,0.09271
107,L,Height,-0.3521,17.4894,0.08611
107,P,Height,-0.3833,17.4755,0.09315
107,L,Length,-0.3521,17.2607,0.08568
107,P,Length,-0.3833,17.2269,0.09289
107.5,L,Height,-0.3521,17.655,0.08641
107.5,P,Height,-0.3833,17.6567,0.09333
